Size,Avg Count,Coef Count,Avg Time,Coef Time
100,896.15,4.70%,3232.50,25.27%
200,2183.98,3.65%,7172.50,5.18%
300,3454.35,2.50%,11120.00,4.09%
400,5145.55,2.55%,18485.00,12.53%
500,6055.53,2.50%,21077.50,5.05%
600,7990.15,1.96%,25552.50,3.40%
700,9287.23,2.12%,29502.50,2.84%
800,12055.35,2.17%,36522.50,1.87%
900,14312.45,3.87%,42242.50,1.89%
1000,13941.55,2.24%,44260.00,2.03%
1100,16538.25,1.96%,49492.50,4.55%
1200,18290.80,2.37%,55235.00,2.63%
